source_clip_id,condition,scenario_code,mean_distance_px,n_frames
C10,HUD,LR,294.75284471388426,160
C10,RAW,LR,339.05961160744909,160
C10,HUD,PLL,336.20749454562082,125
C10,RAW,PLL,380.16398268761066,125
C10,HUD,PLR,360.43534428999533,48
C10,RAW,PLR,409.65972706392716,48
C10,HUD,S,296.68005820958183,290
C10,RAW,S,313.94559473722597,290
C11,HUD,LL,315.57470524347752,253
C11,RAW,LL,345.22666736882729,253
C11,HUD,LR,333.66087719773049,172
C11,RAW,LR,359.04071669511171,172
C11,HUD,PLL,347.24024163436309,250
C11,RAW,PLL,387.56521891158059,250
C11,HUD,PLR,391.02104559718452,1
C11,RAW,PLR,388.44864902240334,1
C11,HUD,S,300.35422268296082,309
C11,RAW,S,305.73079012124697,309
C12,HUD,LL,240.54936283519095,120
C12,RAW,LL,246.15377449821804,120
C12,HUD,LR,320.51617021021065,123
C12,RAW,LR,347.98510217559772,123
C12,HUD,PLL,219.41174723250185,125
C12,RAW,PLL,246.69575484055983,125
C12,HUD,PLR,306.12584023920971,125
C12,RAW,PLR,326.50473961639119,125
C12,HUD,PTR,267.85985149497486,183
C12,RAW,PTR,309.76097077109887,183
C12,HUD,S,300.10260111115804,953
C12,RAW,S,296.3217727848471,953
C12,HUD,TR,391.48876354397851,106
C12,RAW,TR,366.3361624631716,106
C13,HUD,PTL,121.59073333764857,241
C13,RAW,PTL,124.95173267324321,241
C13,HUD,PTR,224.96225426323306,176
C13,RAW,PTR,273.71778482999554,176
C13,HUD,S,220.51406729097852,855
C13,RAW,S,212.11055601386988,855
C13,HUD,TL,301.66972623263837,122
C13,RAW,TL,289.94491867381953,122
C13,HUD,TR,324.51354360976757,116
C13,RAW,TR,324.18801957112407,116
C14,HUD,LL,281.00200312707636,190
C14,RAW,LL,300.73194768431904,190
C14,HUD,LR,277.5871057860997,321
C14,RAW,LR,280.08643930160781,321
C14,HUD,PLL,310.28116593074225,125
C14,RAW,PLL,333.34626689968212,125
C14,HUD,PLR,308.35377563537679,250
C14,RAW,PLR,336.07551993624736,250
C14,HUD,S,266.17851453025565,1349
C14,RAW,S,273.82963117021541,1349
C15,HUD,LL,307.12978639463859,153
C15,RAW,LL,335.75428289791961,153
C15,HUD,PLL,339.97602778350381,125
C15,RAW,PLL,400.93388116531531,125
C15,HUD,PTR,91.059226208936565,308
C15,RAW,PTR,121.19424491023749,308
C15,HUD,S,319.49386140463588,682
C15,RAW,S,325.06851547189677,682
C15,HUD,TR,354.33545725845346,192
C15,RAW,TR,362.21927024653127,192
C16,HUD,LL,276.74015384840959,126
C16,RAW,LL,312.9017790134929,126
C16,HUD,LR,325.32108484990403,102
C16,RAW,LR,348.21718205152035,102
C16,HUD,PLL,308.42798474289111,125
C16,RAW,PLL,336.28127329989195,125
C16,HUD,PLR,310.87583765402434,125
C16,RAW,PLR,363.81737732143165,125
C16,HUD,PTL,215.6094467586247,619
C16,RAW,PTL,199.54309506802707,619
C16,HUD,S,309.37548992398558,1056
C16,RAW,S,322.08226554072917,1056
C16,HUD,TL,356.23520248407488,207
C16,RAW,TL,333.11876234851923,207
C17,HUD,PTL,229.47732842980534,229
C17,RAW,PTL,201.69816669700134,229
C17,HUD,PTR,128.69505670526198,83
C17,RAW,PTR,108.77333018443629,83
C17,HUD,S,303.54213565323022,1687
C17,RAW,S,307.96456414459999,1687
C17,HUD,TL,339.07728423320378,257
C17,RAW,TL,321.85823523324143,257
C17,HUD,TR,351.17424550309448,104
C17,RAW,TR,300.9241327891387,104
C18,HUD,PTL,226.93973480900556,321
C18,RAW,PTL,233.67971004862349,321
C18,HUD,PTR,162.04368625306523,124
C18,RAW,PTR,171.2020945972215,124
C18,HUD,S,293.50029493882357,468
C18,RAW,S,297.71385017276685,468
C18,HUD,TL,344.94006671196291,254
C18,RAW,TL,335.18728275156434,254
C18,HUD,TR,374.05103531307009,68
C18,RAW,TR,381.45597574505365,68
