participant_id,source_clip_id,condition,scene_code,auc
P16,C13,RAW,PTL,906.64598556969497
P16,C18,RAW,PTL,905.89301065869677
P16,C18,RAW,PTL,1004.8218501447764
P16,C04,RAW,PTL,957.07058809492457
P16,C04,RAW,PTL,1026.4385666689016
P16,C16,RAW,PTL,911.11656227705043
P16,C16,RAW,PTL,968.01505173632484
P17,C02,RAW,PTL,924.98331193756258
P17,C03,RAW,PTL,826.42673323382724
P17,C05,RAW,PTL,870.63466628635877
P17,C06,RAW,PTL,761.08537070424529
P17,C07,RAW,PTL,830.35376630229609
P17,C17,RAW,PTL,810.94883739090517
P17,C17,RAW,PTL,600.81205729942417
P18,C04,RAW,PTL,898.93890921672016
P18,C04,RAW,PTL,954.37129910014096
P18,C13,RAW,PTL,934.00843998371602
P18,C16,RAW,PTL,868.13779761841442
P18,C16,RAW,PTL,887.20171220552243
P18,C18,RAW,PTL,961.90400324038796
P18,C18,RAW,PTL,969.82967078642957
P01,C17,RAW,PTL,923.57863453532264
P01,C17,RAW,PTL,764.0528713855166
P01,C07,RAW,PTL,792.65147651807661
P01,C06,RAW,PTL,1094.2925620681283
P01,C05,RAW,PTL,902.27881387545642
P01,C03,RAW,PTL,966.4025095932916
P01,C02,RAW,PTL,1004.5420702642092
P19,C17,RAW,PTL,830.57149929453078
P19,C17,RAW,PTL,743.06337572489031
P19,C07,RAW,PTL,995.93008945349482
P19,C06,RAW,PTL,914.95916294449364
P19,C05,RAW,PTL,882.64323474201774
P19,C03,RAW,PTL,816.09787627662558
P19,C02,RAW,PTL,819.73944907168482
P20,C17,RAW,PTL,819.01434826189313
P20,C17,RAW,PTL,582.46845685217727
P20,C07,RAW,PTL,745.52236049480348
P20,C06,RAW,PTL,629.76628914367313
P20,C05,RAW,PTL,797.05322636362666
P20,C03,RAW,PTL,735.37404636573785
P20,C02,RAW,PTL,899.21258464218488
P02,C02,RAW,PTL,1003.6471431982555
P02,C03,RAW,PTL,860.92755588012255
P02,C05,RAW,PTL,950.5927849329446
P02,C06,RAW,PTL,1011.4024888935472
P02,C07,RAW,PTL,993.96043306909655
P02,C17,RAW,PTL,943.31618242890295
P02,C17,RAW,PTL,1198.7715771495027
P03,C04,RAW,PTL,865.67131567455488
P03,C04,RAW,PTL,970.94042159202479
P03,C13,RAW,PTL,940.17972707308445
P03,C16,RAW,PTL,831.77970281593684
P03,C16,RAW,PTL,932.65993280933196
P03,C18,RAW,PTL,736.40906361538111
P03,C18,RAW,PTL,798.31102775909949
P04,C18,RAW,PTL,889.68279753488662
P04,C18,RAW,PTL,852.83823904842711
P04,C16,RAW,PTL,925.6518916763456
P04,C16,RAW,PTL,792.86160397040976
P04,C13,RAW,PTL,793.30789839369697
P04,C04,RAW,PTL,916.72130191816518
P04,C04,RAW,PTL,977.31515501055082
P05,C17,RAW,PTL,808.83457591790909
P05,C17,RAW,PTL,952.54556717165258
P05,C07,RAW,PTL,886.04105068927277
P05,C06,RAW,PTL,1101.3373200615049
P05,C05,RAW,PTL,878.78985949147989
P05,C03,RAW,PTL,844.2208529875237
P05,C02,RAW,PTL,912.71803051862241
P06,C04,RAW,PTL,947.812667016094
P06,C04,RAW,PTL,975.80858155105284
P06,C13,RAW,PTL,900.52886752335121
P06,C16,RAW,PTL,905.03551286134882
P06,C16,RAW,PTL,887.11515569215203
P06,C18,RAW,PTL,856.39524214346989
P06,C18,RAW,PTL,1023.5951414548314
P07,C18,RAW,PTL,765.7493670458673
P07,C18,RAW,PTL,730.62889287501184
P07,C16,RAW,PTL,935.61559800621637
P07,C16,RAW,PTL,829.5730841272624
P07,C13,RAW,PTL,899.53085464331309
P07,C04,RAW,PTL,822.76649279058665
P07,C04,RAW,PTL,974.27242716432602
P08,C18,RAW,PTL,624.42002851284462
P08,C18,RAW,PTL,904.18037955163936
P08,C16,RAW,PTL,967.2724686711324
P08,C16,RAW,PTL,830.07156435885042
P08,C13,RAW,PTL,852.13199477373473
P08,C04,RAW,PTL,943.9523798138074
P08,C04,RAW,PTL,965.24822400429844
P09,C02,HUD,PTL,896.47826268632843
P09,C05,HUD,PTL,867.85861191136576
P09,C06,HUD,PTL,845.97326191294701
P09,C07,HUD,PTL,903.82628386541785
P09,C17,HUD,PTL,816.42071963701596
P09,C17,HUD,PTL,921.43893972439241
P09,C03,HUD,PTL,809.63607369777253
P10,C04,HUD,PTL,875.86799631522842
P10,C04,HUD,PTL,979.42508112813402
P10,C13,HUD,PTL,906.03635215895281
P10,C16,HUD,PTL,857.38056618796702
P10,C16,HUD,PTL,802.03610272617277
P10,C18,HUD,PTL,930.028865518418
P10,C18,HUD,PTL,1013.1366695670448
P11,C18,HUD,PTL,681.91049216482691
P11,C18,HUD,PTL,783.83592369180826
P11,C16,HUD,PTL,827.65573733077713
P11,C16,HUD,PTL,760.43923086693326
P11,C13,HUD,PTL,768.20856114313403
P11,C04,HUD,PTL,862.72382304155553
P11,C04,HUD,PTL,934.28192824942278
P12,C04,HUD,PTL,892.71705972881659
P12,C04,HUD,PTL,939.32675113658559
P12,C13,HUD,PTL,938.62891832720356
P12,C16,HUD,PTL,888.30127787910737
P12,C16,HUD,PTL,862.82165039072584
P12,C18,HUD,PTL,909.06385350697758
P12,C18,HUD,PTL,863.90371676951838
P13,C17,HUD,PTL,801.81942287892707
P13,C17,HUD,PTL,811.71254595550818
P13,C07,HUD,PTL,820.16931534318667
P13,C06,HUD,PTL,735.48224638536908
P13,C05,HUD,PTL,949.22895078237059
P13,C03,HUD,PTL,712.49259167605089
P13,C02,HUD,PTL,845.99729309447548
P14,C17,HUD,PTL,656.91606846618072
P14,C17,HUD,PTL,743.60611497810771
P14,C07,HUD,PTL,695.06752627147364
P14,C06,HUD,PTL,819.5018128694428
P14,C05,HUD,PTL,852.42793025590458
P14,C03,HUD,PTL,758.87786294229556
P14,C02,HUD,PTL,882.46611919253428
P15,C18,HUD,PTL,496.7690170831429
P15,C18,HUD,PTL,691.13210469518265
P15,C16,HUD,PTL,632.83545267569707
P15,C16,HUD,PTL,759.82903295804647
P15,C13,HUD,PTL,695.43133995376161
P15,C04,HUD,PTL,889.01478612289736
P15,C04,HUD,PTL,917.76112121030417
P16,C02,HUD,PTL,839.18270747965312
P16,C03,HUD,PTL,503.64648655548666
P16,C05,HUD,PTL,827.82044422529839
P16,C06,HUD,PTL,906.81099987138236
P16,C07,HUD,PTL,805.40281400790514
P16,C17,HUD,PTL,489.75959091413631
P16,C17,HUD,PTL,657.40055586015183
P17,C04,HUD,PTL,880.17374355375648
P17,C04,HUD,PTL,961.25226667418644
P17,C13,HUD,PTL,896.71883773274396
P17,C16,HUD,PTL,838.21754985766233
P17,C16,HUD,PTL,771.36590020528467
P17,C18,HUD,PTL,637.1252955450002
P17,C18,HUD,PTL,655.0415492057374
P18,C02,HUD,PTL,892.52689104816432
P18,C03,HUD,PTL,688.43865839236196
P18,C05,HUD,PTL,876.13293763084368
P18,C06,HUD,PTL,776.2361298902606
P18,C07,HUD,PTL,807.30249923090901
P18,C17,HUD,PTL,749.8509118080824
P18,C17,HUD,PTL,617.59600611499195
P01,C18,HUD,PTL,791.34625072900428
P01,C18,HUD,PTL,838.80355646017279
P01,C16,HUD,PTL,759.6798700878096
P01,C16,HUD,PTL,735.51655323153011
P01,C13,HUD,PTL,726.55133565287019
P01,C04,HUD,PTL,838.70655293065658
P01,C04,HUD,PTL,989.71488262906496
P19,C18,HUD,PTL,781.52964291514706
P19,C18,HUD,PTL,996.74289626869802
P19,C16,HUD,PTL,841.17415855617048
P19,C16,HUD,PTL,808.67438148185067
P19,C16,HUD,PTL,695.05217254800209
P19,C13,HUD,PTL,904.16200613510296
P19,C04,HUD,PTL,842.45827229211864
P19,C04,HUD,PTL,936.8931304169148
P20,C18,HUD,PTL,624.99647250002863
P20,C18,HUD,PTL,724.54747699649351
P20,C16,HUD,PTL,805.72455522615928
P20,C16,HUD,PTL,689.08151727483948
P20,C13,HUD,PTL,869.81964543037566
P20,C04,HUD,PTL,894.69715457044117
P20,C04,HUD,PTL,897.92377372232056
P02,C04,HUD,PTL,759.95215979083082
P02,C04,HUD,PTL,820.95027749664689
P02,C13,HUD,PTL,828.4202197131475
P02,C16,HUD,PTL,753.39712393632556
P02,C16,HUD,PTL,659.67958356762097
P02,C18,HUD,PTL,879.53753938855562
P02,C18,HUD,PTL,1051.380731027072
P03,C02,HUD,PTL,932.25992383400865
P03,C03,HUD,PTL,732.66681453681895
P03,C05,HUD,PTL,831.61641889790656
P03,C06,HUD,PTL,631.46155973325654
P03,C07,HUD,PTL,822.99277616082395
P03,C17,HUD,PTL,858.45684050099521
P03,C17,HUD,PTL,733.4156671281952
P04,C17,HUD,PTL,854.13320008805522
P04,C17,HUD,PTL,706.15214622454539
P04,C07,HUD,PTL,815.46790213476663
P04,C06,HUD,PTL,899.73242702880293
P04,C05,HUD,PTL,879.70422112821166
P04,C03,HUD,PTL,897.81128742499175
P04,C02,HUD,PTL,923.95460876919196
P05,C18,HUD,PTL,892.31445656187486
P05,C18,HUD,PTL,934.89424202471275
P05,C16,HUD,PTL,851.68569313918022
P05,C16,HUD,PTL,897.09908458991208
P05,C13,HUD,PTL,875.76854761997538
P05,C04,HUD,PTL,957.15907352222519
P05,C04,HUD,PTL,962.38547681671355
P06,C02,HUD,PTL,972.34008127469122
P06,C03,HUD,PTL,774.74496864076684
P06,C05,HUD,PTL,909.42743676432303
P06,C06,HUD,PTL,903.83498736683157
P06,C07,HUD,PTL,872.84988219327261
