participant_id,condition,scene_code,transition,probability
P02,RAW,PTL,R->C,0.14285714285714285
P02,RAW,PTL,R->L,0.11904761904761904
P02,RAW,PTL,R->R,0.16666666666666666
P02,HUD,PTR,C->C,0.84126984126984128
P02,HUD,PTR,C->L,0.086970899470899463
P02,HUD,PTR,C->R,0.071759259259259259
P02,HUD,PTR,L->C,0.31944444444444442
P02,HUD,PTR,L->L,0.32870370370370372
P02,HUD,PTR,L->R,0.018518518518518517
P02,HUD,PTR,R->C,0.12222222222222223
P02,HUD,PTR,R->L,0.011111111111111099
P02,HUD,PTR,R->R,0.3666666666666667
P02,RAW,PTR,C->C,0.87662037037037033
P02,RAW,PTR,C->L,0.011111111111111099
P02,RAW,PTR,C->R,0.11226851851851849
P02,RAW,PTR,L->C,0.066666666666666666
P02,RAW,PTR,L->L,0.099999999999999992
P02,RAW,PTR,L->R,0
P02,RAW,PTR,R->C,0.098484848484848495
P02,RAW,PTR,R->L,0.01515151515151515
P02,RAW,PTR,R->R,0.55303030303030309
P02,HUD,S,C->C,0.9073532086920495
P02,HUD,S,C->L,0.038499368821734756
P02,HUD,S,C->R,0.054147422486215721
P02,HUD,S,L->C,0.22275641025641027
P02,HUD,S,L->L,0.12339743589743589
P02,HUD,S,L->R,0
P02,HUD,S,R->C,0.4391025641025641
P02,HUD,S,R->L,0
P02,HUD,S,R->R,0.060897435897435896
P02,RAW,S,C->C,0.96803292822505349
P02,RAW,S,C->L,0.0093593189964157678
P02,RAW,S,C->R,0.022607752778530762
P02,RAW,S,L->C,0.1139784946236559
P02,RAW,S,L->L,0.079569892473118284
P02,RAW,S,L->R,0
P02,RAW,S,R->C,0.10483870967741936
P02,RAW,S,R->L,0
P02,RAW,S,R->R,0.056451612903225805
P02,HUD,TL,C->C,0.79761904761904756
P02,HUD,TL,C->L,0.059523809523809521
P02,HUD,TL,C->R,0
P02,HUD,TL,L->C,0.099282661782661777
P02,HUD,TL,L->L,0.90071733821733824
P02,HUD,TL,L->R,0
P02,HUD,TL,R->C,0
P02,HUD,TL,R->L,0
P02,HUD,TL,R->R,0
P02,RAW,TL,C->C,0.91091051805337531
P02,RAW,TL,C->L,0.089089481946624791
P02,RAW,TL,C->R,0
P02,RAW,TL,L->C,0.25748299319727891
P02,RAW,TL,L->L,0.74251700680272115
P02,RAW,TL,L->R,0
P02,RAW,TL,R->C,0.028571428571428574
P02,RAW,TL,R->L,0
P02,RAW,TL,R->R,0.1142857142857143
P02,HUD,TR,C->C,0.81349206349206338
P02,HUD,TR,C->L,0.055555555555555552
P02,HUD,TR,C->R,0.13095238095238093
P02,HUD,TR,L->C,0.083333333333333329
P02,HUD,TR,L->L,0
P02,HUD,TR,L->R,0.083333333333333329
P02,HUD,TR,R->C,0.18015151515151515
P02,HUD,TR,R->L,0
P02,HUD,TR,R->R,0.81984848484848483
P02,RAW,TR,C->C,0.90396825396825398
P02,RAW,TR,C->L,0
P02,RAW,TR,C->R,0.096031746031746024
P02,RAW,TR,L->C,0
P02,RAW,TR,L->L,0
P02,RAW,TR,L->R,0
P02,RAW,TR,R->C,0.32797619047619048
P02,RAW,TR,R->L,0
P02,RAW,TR,R->R,0.50535714285714284
P03,HUD,LL,C->C,0.97727272727272729
P03,HUD,LL,C->L,0.022727272727272724
P03,HUD,LL,C->R,0
P03,HUD,LL,L->C,0.33333333333333331
